,ID,Section,Gender,State,City,Age (years),Height,Highest_Qualification,Favourite_Subject,Favourite_Colour,Work_Experience,Work_Industry,Hobby,Info_regarding_gim,Workexperience,Top_3_Competitors,Top_3_converts,Experience_Category,Info_0,Info_1,Info_2,Info_3,Info_4,Social_media,Online_search,Advertisement,Coaching,Friends/Family
122,123,PGDM BDA Section A,Man,Maharashtra,Mumbai,24,182.0,Btech,Mathematics,Black,2.5,Telecommunications,Cricket,Online search;,Placement,"IIM Kashipur, GLIM, IMT G","IIM K, GLIM, TAPMI",2-5 years,Online_search,,,,,0,1,0,0,0
123,124,PGDM BDA Section A,Man,West Bengal,Kolkata,25,170.0,B.Tech,Physics,Black,1.5,Information Technology,Cricket,Social media;Online search;,Learning,"IMI, IMT, TAPMI","Welingkar, IMT, KJSOM",1-2 years,Social media,Online_search,,,,1,1,0,0,0
124,125,PGDM BDA Section A,Man,Maharashtra,Nagpur,25,183.0,Bachelors,Maths,Black,2.9166666666666665,IT Operations,Gaming,Social media;Friends/Family;Online search;,Learning + Good placement opportunities,"Great lakes, IIM R BA, IIM K BA",,2-5 years,Social media,Friends/Family,Online_search,,,1,1,0,0,1
125,126,PGDM BDA Section A,Man,Madhya Pradesh,Ujjain,22,177.8,B.Tech,Vehicular Design,Matte black,0.0,Software Devlopment,Cars,Online search;,To land a product role in automotive or tech industry,"IIM A, B, S",,0 years,Online_search,,,,,0,1,0,0,0
126,127,PGDM BDA Section A,Woman,Karnataka,Mysore,22,160.0,UG,Math,Lavender,0.5,Food Technology,Dancing,Friends/Family;,Learning,"Great Lakes, TAPMI, Fore School of Management ","Great Lakes, Symbiosis Bangalore, KJ Somaiya ",1-2 years,Friends/Family,,,,,0,0,0,0,1
127,128,PGDM BDA Section A,Man,West Bengal,Kolkata,23,170.0,B.Tech CSE,English,Red,0.6,IT,Football,Social media;,Placement,"GLIM , IMI , BABY IIM","VGSOM, FORE ,WELLINGKAR",1-2 years,Social media,,,,,1,0,0,0,0
128,129,PGDM BDA Section A,Man,Rajasthan,Ajmer,25,172.0,BTech,Programming,Blue,2.4,IT,Sports,Social media;Friends/Family;,Learning new things,"IMT Ghaziabad, IIM Rohtak, IIM Kashipur ",,2-5 years,Social media,Friends/Family,,,,1,0,0,0,1
129,130,PGDM BDA Section A,Man,West Bengal,Haldia,23,172.0,UG,Computer Science,Red,0.0,Fresher,Gameing,Online search;,Placement,"IMT , FORE , GLIM","IMT , FORE , GLIM",0 years,Online_search,,,,,0,1,0,0,0
130,131,PGDM BDA Section A,Man,Jharkhand,Dhanbad,24,173.0,B.Tech,Maths,Navy Blue,1.7,IT,Playing Piano,Advertisement;Social media;,Good Placement,"IMI Delhi, IMT Ghaziabad, XIMB","FORE Delhi, IMI Kolkata, IMI Bhubaneswar ",1-2 years,Advertisement,Social media,,,,1,0,1,0,0
131,132,PGDM BDA Section A,Man,Uttar Pradesh,Gorakhpur,21,175.0,Bachelors(B.Tech),Digital Electronics,Green,0.0,,Singing,Online search;,Opportunities,"IMT Ghaziabad, IIM Rohtak, IIM Kashipur ",,0 years,Online_search,,,,,0,1,0,0,0
132,133,PGDM BDA Section A,Man,Telangana,Hyderabad,21,6.0,BBA,Marketing,Black,0.0,,Playing Volleyball,Online search;,Growth,"IIMB, TAPMI, Wellingkar",Woxsen university,0 years,Online_search,,,,,0,1,0,0,0
133,134,PGDM BDA Section A,Woman,Uttarakhand,Haldwani,24,5.0,BBA,Marketing,Gold,1.0,,Driving,Online search;,Learning,"IIM Bangalore, IIM kashipur, BITS",,1-2 years,Online_search,,,,,0,1,0,0,0
134,135,PGDM BDA Section A,Man,Tamil Nadu,Chennai,25,172.0,B.Tech,Mathematics,Orange,2.8,IT,Photography,Online search;,Skills,"IMI , IMT , IIM sambalpur",IMT,2-5 years,Online_search,,,,,0,1,0,0,0
135,136,PGDM BDA Section A,Man,Karnataka,Bangalore,25,184.0,Bachelors Degree,Consumer behaviour,Blue,1.5,Workplace Design,Football,Friends/Family;,Live,"IIM Kashipur, Great Lakes institute of management, Bits school of management ","University of Western Australia, University of Leeds ",1-2 years,Friends/Family,,,,,0,0,0,0,1
136,137,PGDM FT Section D,Woman,West bengal,Kolkata,23,162.0,BSc.bEd,Psychology,Pink,0.0,Education,Writing,Friends/Family;,I wish to expose myself to the oppurtunities GIM has to offer,"Imt ghanziabad, greatlakes channai, IMI delhi","IMT nagpur, imt ghaziabad dcp, great lakes",0 years,Friends/Family,,,,,0,0,0,0,1
137,138,PGDM BDA Section A,Woman,Rajasthan,Jaipur,23,175.0,Btech,Chemistry,Yellow,1.0,Mobile and web development,Exploring new brands,Friends/Family;,Train me to excel in the field I choose,NMIMS GREAT LAKES and BITS PILANI,Shiv Nadar University BMS Munjal,1-2 years,Friends/Family,,,,,0,0,0,0,1
